Price,SPY_Close,SPY_SMA_50,SPY_SMA_200,^VIX_Close
Ticker,SPY,,,^VIX
Date,,,,
2025-04-14,537.5308837890625,570.4568920898438,568.8993286132812,30.889999389648438
2025-04-15,536.0253295898438,569.29298828125,568.8812121582031,30.1200008392334
2025-04-16,524.1105346679688,567.8110656738281,568.8141397094727,32.63999938964844
2025-04-17,524.8583374023438,566.2955895996093,568.7452746582031,29.649999618530273
2025-04-21,512.3652954101562,564.4885009765625,568.5958206176758,33.81999969482422
2025-04-22,525.6959228515625,563.0583654785156,568.5009201049804,30.56999969482422
2025-04-23,533.841796875,561.7100329589844,568.4310446166992,28.450000762939453
2025-04-24,545.07861328125,560.5772900390625,568.4141925048829,26.469999313354492
2025-04-25,549.0169677734375,559.5620837402344,568.4143655395508,24.84000015258789
2025-04-28,549.226318359375,558.4244213867188,568.3884237670899,25.149999618530273
2025-04-29,552.6860961914062,557.3565502929688,568.4036834716796,24.170000076293945
2025-04-30,552.9054565429688,556.2574792480468,568.4027053833008,24.700000762939453
2025-05-01,556.8238525390625,555.2081469726562,568.4137139892578,24.600000381469727
2025-05-02,565.0894165039062,554.3748229980469,568.4496051025391,22.68000030517578
2025-05-05,561.8489990234375,553.6842504882812,568.5084072875976,23.639999389648438
2025-05-06,557.1528930664062,552.9540319824218,568.5648660278321,24.760000228881836
2025-05-07,559.4959716796875,552.3297229003906,568.6511639404297,23.549999237060547
2025-05-08,563.3944702148438,551.7774194335938,568.7290023803711,22.479999542236328
2025-05-09,562.6765747070312,551.3994311523437,568.8075479125977,21.899999618530273
2025-05-12,581.2716064453125,551.2118273925781,569.0410470581055,18.389999389648438
2025-05-13,585.1102905273438,551.3079602050781,569.307666015625,18.219999313354492
2025-05-14,585.8580932617188,551.5564294433593,569.5482446289062,18.6200008392334
2025-05-15,588.7196044921875,551.7388647460938,569.8015502929687,17.829999923706055
2025-05-16,592.4485473632812,552.2016491699219,570.0871313476563,17.239999771118164
2025-05-19,593.0966186523438,552.6135778808593,570.3324447631836,18.139999389648438
2025-05-20,591.1025390625,553.2906018066407,570.6063079833984,18.09000015258789
2025-05-21,581.1419677734375,553.8610620117188,570.8802963256836,20.8700008392334
2025-05-22,581.371337890625,554.3774584960937,571.2320770263672,20.280000686645508
2025-05-23,577.4030151367188,554.9626049804688,571.540458984375,22.290000915527344
2025-05-27,589.4075927734375,555.5613952636719,571.9260998535157,18.959999084472656
2025-05-28,585.9976196289062,556.0057006835938,572.2354782104492,19.309999465942383
2025-05-29,588.310791015625,556.6181420898438,572.5448660278321,19.18000030517578
2025-05-30,587.6527709960938,557.0959484863281,572.8495809936524,18.56999969482422
2025-06-02,590.9629516601562,557.6725646972657,573.1275366210938,18.360000610351562
2025-06-03,594.3330078125,558.3128723144531,573.4138973999023,17.690000534057617
2025-06-04,594.1734619140625,558.748583984375,573.6534335327149,17.610000610351562
2025-06-05,591.3019409179688,559.0993469238281,573.8724884033203,18.479999542236328
2025-06-06,597.3740234375,559.7085461425781,574.0957299804687,16.770000457763672
2025-06-09,597.9124145507812,560.3586242675781,574.3261575317383,17.15999984741211
2025-06-10,601.3023681640625,561.304228515625,574.5640530395508,16.950000762939453
2025-06-11,599.5874633789062,562.1411547851562,574.8151034545898,17.260000228881836
2025-06-12,601.9703979492188,562.9942333984375,575.0488818359376,18.020000457763672
2025-06-13,595.2402954101562,563.6419177246094,575.2556271362305,20.81999969482422
2025-06-16,600.903564453125,564.9576281738281,575.4868862915039,19.110000610351562
2025-06-17,595.768798828125,566.7971911621094,575.7085711669922,21.600000381469727
2025-06-18,595.6790161132812,568.6529052734375,575.9295602416992,20.139999389648438
2025-06-20,594.280029296875,570.638173828125,576.1172320556641,20.6200008392334
2025-06-23,600.1500244140625,571.7011157226563,576.3915402221679,19.829999923706055
2025-06-24,606.780029296875,573.3760412597657,576.7045791625976,17.479999542236328
2025-06-25,607.1199951171875,574.8711181640625,577.0259353637696,16.760000228881836
2025-06-26,611.8699951171875,576.357900390625,577.4167230224609,16.59000015258789
2025-06-27,614.9099731445312,577.9355932617187,577.7928326416015,16.31999969482422
2025-06-30,617.8499755859375,579.8103820800782,578.1718887329101,16.729999542236328
2025-07-01,617.6500244140625,581.6662158203125,578.5221411132812,16.829999923706055
2025-07-02,620.4500122070312,583.82791015625,578.8633303833008,16.639999389648438
2025-07-03,625.3400268554688,585.8207922363281,579.2145495605469,16.3799991607666
2025-07-07,620.6799926757812,587.5575561523438,579.538369140625,17.790000915527344
2025-07-08,620.3400268554688,589.0627844238281,579.8593533325195,16.809999465942383
2025-07-09,624.0599975585938,590.5636450195312,580.207184753418,15.9399995803833
2025-07-10,625.8200073242188,592.0955187988282,580.516505432129,15.779999732971191
2025-07-11,623.6199951171875,593.5141967773437,580.8197003173829,16.399999618530273
