Ticker,Price,P/E Ratio,P/S Ratio,P/B Ratio,ROE,EV/EBITDA,1M Return,3M Return,6M Return,12M Return
BRK-B,503.9600,13.4300,2.9300,1.6600,0.1320,,-0.0549,-0.0192,0.0556,0.2161
BBY,66.2800,16.1900,0.3400,4.9900,0.3021,,-0.0061,-0.2534,-0.2707,-0.1843
TECH,48.4000,59.0000,6.2800,3.7600,0.0653,,-0.0372,-0.2149,-0.3475,-0.3699
BIIB,129.7900,12.8200,2.0200,1.1200,0.0919,,0.0719,-0.0762,-0.1822,-0.4230
BLK,979.8900,23.8000,7.1000,3.1600,0.1437,,0.0718,0.0076,-0.0401,0.2986
BX,138.7600,41.9800,13.3300,21.2500,0.3407,,0.0535,-0.1329,-0.2702,0.1824
BK,88.6100,14.4400,1.5900,1.6800,0.1129,,0.1020,0.0023,0.1038,0.5247
BA,207.3200,,2.2500,,,,0.1314,0.1872,0.3541,0.1673
BKNG,5518.9300,34.3400,7.4600,,,,0.0823,0.1025,0.0843,0.4737
BSX,105.2600,77.1200,8.8700,7.0100,0.0965,,0.0232,0.0142,0.1794,0.3929
BMY,48.2800,18.1300,2.0600,5.6500,0.3199,,-0.0382,-0.1814,-0.1606,0.2327
AVGO,242.0700,116.7600,20.8700,16.3100,0.1485,,0.2577,0.2175,0.4771,0.8443
BR,242.8300,36.5000,4.2100,11.9500,0.3392,,0.0018,0.0106,0.0492,0.2289
BRO,112.9000,31.4700,6.5300,4.7500,0.1618,,0.0222,-0.0463,0.0132,0.2682
BF-B,33.3400,15.9500,3.9100,4.1200,0.2799,,-0.0431,0.0134,-0.2079,-0.2575
BLDR,107.6800,13.8300,0.7400,2.8000,0.1962,,-0.0999,-0.2253,-0.4304,-0.3303
BG,78.1500,9.9000,0.2000,0.9900,0.1036,,0.0014,0.0625,-0.1000,-0.2493
BXP,67.3300,,3.4100,2.0000,-0.0010,,0.0565,-0.0368,-0.1569,0.1740
CHRW,95.9700,22.9300,0.6600,6.5800,0.3211,,0.0757,-0.0496,-0.0966,0.1396
CDNS,287.0700,72.7100,16.0800,16.4100,0.2592,,-0.0358,0.1460,-0.0811,0.0027
CZR,26.8800,,0.4900,1.4100,-0.0556,,-0.0067,-0.1908,-0.3181,-0.2441
CPT,117.4900,108.0500,10.6500,2.9500,0.0247,,0.0324,-0.0448,-0.0353,0.1855
CPB,34.0400,19.6100,1.0000,2.5900,0.1343,,-0.0664,-0.1418,-0.2444,-0.2055
COF,189.1500,15.8800,2.2500,1.1400,0.0790,,0.0527,-0.0538,-0.0082,0.3935
CAH,154.4400,24.1200,0.1700,,,,0.0931,0.1972,0.2784,0.5836
